pathway	enzyme	ko_id	anygene_name
1963	Methane metabolism [PATH:ko00680]	gamma-F420-2:alpha-L-glutamate ligase [EC:6.3.2.32]	K14940	cofF
1964	Methane metabolism [PATH:ko00680]	methanogen homocitrate synthase [EC:2.3.3.14 2.3.3.-]	K10977	aksA
1965	Methane metabolism [PATH:ko00680]	methanogen homoaconitase large subunit [EC:4.2.1.114]	K16792	aksD
1966	Methane metabolism [PATH:ko00680]	methanogen homoaconitase small subunit [EC:4.2.1.114]	K16793	aksE
1967	Methane metabolism [PATH:ko00680]	methanogen homoisocitrate dehydrogenase [EC:1.1.1.87 1.1.1.-]	K10978	aksF
1968	Methane metabolism [PATH:ko00680]	tyrosine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.25 4.1.1.11]	K18933	mfnA
1969	Methane metabolism [PATH:ko00680]	tyramine---L-glutamate ligase [EC:6.3.4.24]	K06914	mfnD
1970	Methane metabolism [PATH:ko00680]	(5-formylfuran-3-yl)methyl phosphate synthase [EC:4.2.3.153]	K09733	mfnB
1971	Methane metabolism [PATH:ko00680]	(5-formylfuran-3-yl)methyl phosphate transaminase [EC:2.6.1.108]	K19793	mfnC
1972	Methane metabolism [PATH:ko00680]	5-(aminomethyl)-3-furanmethanol phosphate kinase [EC:2.7.4.31]	K07144	mfnE
1973	Methane metabolism [PATH:ko00680]	(4-(4-[2-(gamma-L-glutamylamino)ethyl]phenoxymethyl)furan-2-yl)methanamine synthase [EC:2.5.1.131]	K07072	mfnF
1974	Nitrogen metabolism [PATH:ko00910]	formamidase [EC:3.5.1.49]	K01455	E3.5.1.49
1975	Nitrogen metabolism [PATH:ko00910]	MFS transporter, NNP family, nitrate/nitrite transporter	K02575	NRT
1976	Nitrogen metabolism [PATH:ko00910]	nitrate/nitrite transport system substrate-binding protein	K15576	nrtA
1977	Nitrogen metabolism [PATH:ko00910]	nitrate/nitrite transport system permease protein	K15577	nrtB
1978	Nitrogen metabolism [PATH:ko00910]	nitrate/nitrite transport system ATP-binding protein [EC:3.6.3.-]	K15578	nrtC
1979	Nitrogen metabolism [PATH:ko00910]	nitrate/nitrite transport system ATP-binding protein	K15579	nrtD
1980	Nitrogen metabolism [PATH:ko00910]	ferredoxin-nitrate reductase [EC:1.7.7.2]	K00367	narB
1981	Nitrogen metabolism [PATH:ko00910]	nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]	K10534	NR
1982	Nitrogen metabolism [PATH:ko00910]	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	K00370	narG
1983	Nitrogen metabolism [PATH:ko00910]	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	K00371	narH
1984	Nitrogen metabolism [PATH:ko00910]	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	K00374	narI
1985	Nitrogen metabolism [PATH:ko00910]	assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]	K00372	nasA
1986	Nitrogen metabolism [PATH:ko00910]	assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]	K00360	nasB
1987	Nitrogen metabolism [PATH:ko00910]	periplasmic nitrate reductase NapA [EC:1.7.99.-]	K02567	napA
1988	Nitrogen metabolism [PATH:ko00910]	cytochrome c-type protein NapB	K02568	napB
1989	Nitrogen metabolism [PATH:ko00910]	nitrite reductase (NAD(P)H) [EC:1.7.1.4]	K17877	NIT-6
1990	Nitrogen metabolism [PATH:ko00910]	nitrite reductase (NADH) large subunit [EC:1.7.1.15]	K00362	nirB
1991	Nitrogen metabolism [PATH:ko00910]	nitrite reductase (NADH) small subunit [EC:1.7.1.15]	K00363	nirD
1992	Nitrogen metabolism [PATH:ko00910]	ferredoxin-nitrite reductase [EC:1.7.7.1]	K00366	nirA
1993	Nitrogen metabolism [PATH:ko00910]	nitrite reductase (cytochrome c-552) [EC:1.7.2.2]	K03385	nrfA
1994	Nitrogen metabolism [PATH:ko00910]	cytochrome c nitrite reductase small subunit	K15876	nrfH
1995	Nitrogen metabolism [PATH:ko00910]	nitrite reductase (NO-forming) [EC:1.7.2.1]	K00368	nirK
1996	Nitrogen metabolism [PATH:ko00910]	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	K15864	nirS
1997	Nitrogen metabolism [PATH:ko00910]	nitric oxide reductase subunit B [EC:1.7.2.5]	K04561	norB
1998	Nitrogen metabolism [PATH:ko00910]	nitric oxide reductase subunit C	K02305	norC
1999	Nitrogen metabolism [PATH:ko00910]	fungal nitric oxide reductase [EC:1.7.1.14]	K15877	CYP55
2000	Nitrogen metabolism [PATH:ko00910]	nitrous-oxide reductase [EC:1.7.2.4]	K00376	nosZ
2001	Nitrogen metabolism [PATH:ko00910]	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	K02586	nifD
2002	Nitrogen metabolism [PATH:ko00910]	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	K02591	nifK
2003	Nitrogen metabolism [PATH:ko00910]	nitrogenase iron protein NifH	K02588	nifH
2004	Nitrogen metabolism [PATH:ko00910]	nitrogenase delta subunit [EC:1.18.6.1]	K00531	anfG
2005	Nitrogen metabolism [PATH:ko00910]	vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2]	K22896	vnfD
2006	Nitrogen metabolism [PATH:ko00910]	vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]	K22897	vnfK
2007	Nitrogen metabolism [PATH:ko00910]	vanadium nitrogenase delta subunit [EC:1.18.6.2]	K22898	vnfG
2008	Nitrogen metabolism [PATH:ko00910]	vanadium nitrogenase iron protein	K22899	vnfH
2009	Nitrogen metabolism [PATH:ko00910]	hydrazine synthase subunit [EC:1.7.2.7]	K20932	K20932
2010	Nitrogen metabolism [PATH:ko00910]	hydrazine synthase subunit [EC:1.7.2.7]	K20933	K20933
2011	Nitrogen metabolism [PATH:ko00910]	hydrazine synthase subunit [EC:1.7.2.7]	K20934	K20934
2012	Nitrogen metabolism [PATH:ko00910]	hydrazine dehydrogenase [EC:1.7.2.8]	K20935	hdh
2013	Nitrogen metabolism [PATH:ko00910]	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	K10944	pmoA-amoA
2014	Nitrogen metabolism [PATH:ko00910]	methane/ammonia monooxygenase subunit B	K10945	pmoB-amoB
2015	Nitrogen metabolism [PATH:ko00910]	methane/ammonia monooxygenase subunit C	K10946	pmoC-amoC
2016	Nitrogen metabolism [PATH:ko00910]	hydroxylamine reductase [EC:1.7.99.1]	K05601	hcp
2017	Nitrogen metabolism [PATH:ko00910]	hydroxylamine dehydrogenase [EC:1.7.2.6]	K10535	hao
2018	Nitrogen metabolism [PATH:ko00910]	nitronate monooxygenase [EC:1.13.12.16]	K00459	ncd2
2019	Nitrogen metabolism [PATH:ko00910]	nitroalkane oxidase [EC:1.7.3.1]	K19823	NAO
2020	Nitrogen metabolism [PATH:ko00910]	nitrilase [EC:3.5.5.1]	K01501	E3.5.5.1
2021	Nitrogen metabolism [PATH:ko00910]	glutamate dehydrogenase [EC:1.4.1.2]	K15371	GDH2
2022	Nitrogen metabolism [PATH:ko00910]	glutamate dehydrogenase [EC:1.4.1.2]	K00260	gudB
2023	Nitrogen metabolism [PATH:ko00910]	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	K00261	GLUD1_2
2024	Nitrogen metabolism [PATH:ko00910]	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	K00262	E1.4.1.4
2025	Nitrogen metabolism [PATH:ko00910]	glutamine synthetase [EC:6.3.1.2]	K01915	glnA
2026	Nitrogen metabolism [PATH:ko00910]	glutamate synthase (NADH) [EC:1.4.1.14]	K00264	GLT1
2027	Nitrogen metabolism [PATH:ko00910]	glutamate synthase (NADPH) large chain [EC:1.4.1.13]	K00265	gltB
2028	Nitrogen metabolism [PATH:ko00910]	glutamate synthase (NADPH) small chain [EC:1.4.1.13]	K00266	gltD
2029	Nitrogen metabolism [PATH:ko00910]	glutamate synthase (ferredoxin) [EC:1.4.7.1]	K00284	GLU
2030	Nitrogen metabolism [PATH:ko00910]	carbamoyl-phosphate synthase (ammonia) [EC:6.3.4.16]	K01948	CPS1
2031	Nitrogen metabolism [PATH:ko00910]	cyanate lyase [EC:4.2.1.104]	K01725	cynS
2032	Nitrogen metabolism [PATH:ko00910]	carbamate kinase [EC:2.7.2.2]	K00926	arcC
2033	Nitrogen metabolism [PATH:ko00910]	carbonic anhydrase [EC:4.2.1.1]	K01672	CA
2034	Nitrogen metabolism [PATH:ko00910]	carbonic anhydrase 2 [EC:4.2.1.1]	K18245	CA2
2035	Nitrogen metabolism [PATH:ko00910]	carbonic anhydrase 4 [EC:4.2.1.1]	K18246	CA4
2036	Nitrogen metabolism [PATH:ko00910]	carbonic anhydrase [EC:4.2.1.1]	K01673	cynT
2037	Nitrogen metabolism [PATH:ko00910]	carbonic anhydrase [EC:4.2.1.1]	K01674	cah
2038	Sulfur metabolism [PATH:ko00920]	sulfate transport system substrate-binding protein	K02048	cysP
2039	Sulfur metabolism [PATH:ko00920]	sulfate transport system permease protein	K02046	cysU
2040	Sulfur metabolism [PATH:ko00920]	sulfate transport system permease protein	K02047	cysW
2041	Sulfur metabolism [PATH:ko00920]	sulfate transport system ATP-binding protein [EC:3.6.3.25]	K02045	cysA
2042	Sulfur metabolism [PATH:ko00920]	taurine transport system substrate-binding protein	K15551	tauA
2043	Sulfur metabolism [PATH:ko00920]	taurine transport system permease protein	K15552	tauC
2044	Sulfur metabolism [PATH:ko00920]	taurine transport system ATP-binding protein [EC:3.6.3.36]	K10831	tauB
2045	Sulfur metabolism [PATH:ko00920]	taurine dioxygenase [EC:1.14.11.17]	K03119	tauD
2046	Sulfur metabolism [PATH:ko00920]	sulfonate transport system substrate-binding protein	K15553	ssuA
2047	Sulfur metabolism [PATH:ko00920]	sulfonate transport system permease protein	K15554	ssuC
2048	Sulfur metabolism [PATH:ko00920]	sulfonate transport system ATP-binding protein [EC:3.6.3.-]	K15555	ssuB
2049	Sulfur metabolism [PATH:ko00920]	alkanesulfonate monooxygenase [EC:1.14.14.5]	K04091	ssuD
2050	Sulfur metabolism [PATH:ko00920]	FMN reductase [EC:1.5.1.38]	K00299	ssuE
2051	Sulfur metabolism [PATH:ko00920]	3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]	K13811	PAPSS
2052	Sulfur metabolism [PATH:ko00920]	bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	K00955	cysNC
2053	Sulfur metabolism [PATH:ko00920]	sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]	K00956	cysN
2054	Sulfur metabolism [PATH:ko00920]	sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	K00957	cysD
2055	Sulfur metabolism [PATH:ko00920]	sulfate adenylyltransferase [EC:2.7.7.4]	K00958	sat
2056	Sulfur metabolism [PATH:ko00920]	sulfate adenylyltransferase (ADP) / ATP adenylyltransferase [EC:2.7.7.5 2.7.7.53]	K00988	APA1_2
2057	Sulfur metabolism [PATH:ko00920]	sulfate adenylyltransferase (ADP) / adenylylsulfatase [EC:2.7.7.5 3.6.2.1]	K22966	HINT4
2058	Sulfur metabolism [PATH:ko00920]	adenylylsulfate kinase [EC:2.7.1.25]	K00860	cysC
2059	Sulfur metabolism [PATH:ko00920]	3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]	K01082	cysQ
2060	Sulfur metabolism [PATH:ko00920]	inositol monophosphatase 3 [EC:3.1.3.25 3.1.3.7]	K15759	IMPAD1
2061	Sulfur metabolism [PATH:ko00920]	3'(2'), 5'-bisphosphate nucleotidase / inositol polyphosphate 1-phosphatase [EC:3.1.3.7 3.1.3.57]	K15422	SAL
2062	Sulfur metabolism [PATH:ko00920]	bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]	K06881	nrnA
2063	Sulfur metabolism [PATH:ko00920]	adenylylsulfate reductase, subunit A [EC:1.8.99.2]	K00394	aprA
2064	Sulfur metabolism [PATH:ko00920]	adenylylsulfate reductase, subunit B [EC:1.8.99.2]	K00395	aprB
2065	Sulfur metabolism [PATH:ko00920]	adenylyl-sulfate reductase (glutathione) [EC:1.8.4.9]	K05907	APR
2066	Sulfur metabolism [PATH:ko00920]	phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	K00390	cysH
2067	Sulfur metabolism [PATH:ko00920]	sulfite oxidase [EC:1.8.3.1]	K00387	SUOX
2068	Sulfur metabolism [PATH:ko00920]	sulfite dehydrogenase [EC:1.8.2.1]	K05301	E1.8.2.1
2069	Sulfur metabolism [PATH:ko00920]	sulfite dehydrogenase (quinone) subunit SoeA [EC:1.8.5.6]	K21307	soeA
2070	Sulfur metabolism [PATH:ko00920]	sulfite dehydrogenase (quinone) subunit SoeB	K21308	soeB
2071	Sulfur metabolism [PATH:ko00920]	sulfite dehydrogenase (quinone) subunit SoeC	K21309	soeC
2072	Sulfur metabolism [PATH:ko00920]	L-cysteine S-thiosulfotransferase [EC:2.8.5.2]	K17222	soxA
2073	Sulfur metabolism [PATH:ko00920]	L-cysteine S-thiosulfotransferase [EC:2.8.5.2]	K17223	soxX
2074	Sulfur metabolism [PATH:ko00920]	sulfur-oxidizing protein SoxY	K17226	soxY
2075	Sulfur metabolism [PATH:ko00920]	sulfur-oxidizing protein SoxZ	K17227	soxZ
2076	Sulfur metabolism [PATH:ko00920]	S-sulfosulfanyl-L-cysteine sulfohydrolase [EC:3.1.6.20]	K17224	soxB
2077	Sulfur metabolism [PATH:ko00920]	sulfane dehydrogenase subunit SoxC	K17225	soxC
2078	Sulfur metabolism [PATH:ko00920]	S-disulfanyl-L-cysteine oxidoreductase SoxD [EC:1.8.2.6]	K22622	soxD
2079	Sulfur metabolism [PATH:ko00920]	dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5]	K11180	dsrA
2080	Sulfur metabolism [PATH:ko00920]	dissimilatory sulfite reductase beta subunit [EC:1.8.99.5]	K11181	dsrB
2081	Sulfur metabolism [PATH:ko00920]	sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	K00380	cysJ
2082	Sulfur metabolism [PATH:ko00920]	sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]	K00381	cysI
2083	Sulfur metabolism [PATH:ko00920]	anaerobic sulfite reductase subunit A	K16950	asrA
2084	Sulfur metabolism [PATH:ko00920]	anaerobic sulfite reductase subunit B	K16951	asrB
2085	Sulfur metabolism [PATH:ko00920]	anaerobic sulfite reductase subunit C	K00385	asrC
2086	Sulfur metabolism [PATH:ko00920]	sulfite reductase (ferredoxin) [EC:1.8.7.1]	K00392	sir
2087	Sulfur metabolism [PATH:ko00920]	sulfide:quinone oxidoreductase [EC:1.8.5.4]	K17218	sqr
2088	Sulfur metabolism [PATH:ko00920]	sulfhydrogenase subunit gamma (sulfur reductase) [EC:1.12.98.4]	K17995	hydG
2089	Sulfur metabolism [PATH:ko00920]	sulfhydrogenase subunit beta (sulfur reductase) [EC:1.12.98.4]	K17996	hydB
2090	Sulfur metabolism [PATH:ko00920]	sulfhydrogenase subunit alpha [EC:1.12.1.3 1.12.1.5]	K17993	hydA
2091	Sulfur metabolism [PATH:ko00920]	sulfhydrogenase subunit delta [EC:1.12.1.3 1.12.1.5]	K17994	hydD
2092	Sulfur metabolism [PATH:ko00920]	sulfide dehydrogenase [flavocytochrome c] flavoprotein chain [EC:1.8.2.3]	K17229	fccB
2093	Sulfur metabolism [PATH:ko00920]	cytochrome subunit of sulfide dehydrogenase	K17230	fccA
2094	Sulfur metabolism [PATH:ko00920]	sulfur oxygenase/reductase [EC:1.13.11.55]	K16952	sor
2095	Sulfur metabolism [PATH:ko00920]	sulfur reductase molybdopterin subunit	K17219	sreA
2096	Sulfur metabolism [PATH:ko00920]	sulfur reductase FeS subunit	K17220	sreB
2097	Sulfur metabolism [PATH:ko00920]	sulfur reductase membrane anchor	K17221	sreC
2098	Sulfur metabolism [PATH:ko00920]	eukaryotic sulfide quinone oxidoreductase [EC:1.8.5.8]	K22470	SQOR
2099	Sulfur metabolism [PATH:ko00920]	sulfur dioxygenase [EC:1.13.11.18]	K17725	ETHE1
2100	Sulfur metabolism [PATH:ko00920]	thiosulfate dehydrogenase [quinone] small subunit [EC:1.8.5.2]	K16936	doxA
2101	Sulfur metabolism [PATH:ko00920]	thiosulfate dehydrogenase [quinone] large subunit [EC:1.8.5.2]	K16937	doxD
2102	Sulfur metabolism [PATH:ko00920]	tetrathionate reductase subunit A	K08357	ttrA
2103	Sulfur metabolism [PATH:ko00920]	tetrathionate reductase subunit B	K08358	ttrB
2104	Sulfur metabolism [PATH:ko00920]	tetrathionate reductase subunit C	K08359	ttrC
2105	Sulfur metabolism [PATH:ko00920]	thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]	K08352	phsA
2106	Sulfur metabolism [PATH:ko00920]	thiosulfate reductase electron transport protein	K08353	phsB
2107	Sulfur metabolism [PATH:ko00920]	thiosulfate reductase cytochrome b subunit	K08354	phsC
2108	Sulfur metabolism [PATH:ko00920]	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]	K01011	TST
2109	Sulfur metabolism [PATH:ko00920]	thiosulfate sulfurtransferase [EC:2.8.1.1]	K02439	glpE
2110	Sulfur metabolism [PATH:ko00920]	serine O-acetyltransferase [EC:2.3.1.30]	K00640	cysE
2111	Sulfur metabolism [PATH:ko00920]	cysteine synthase / O-phosphoserine sulfhydrylase / cystathionine beta-synthase [EC:2.5.1.47 2.5.1.65 4.2.1.22]	K10150	cysO
2112	Sulfur metabolism [PATH:ko00920]	cysteine synthase [EC:2.5.1.47]	K01738	cysK
2113	Sulfur metabolism [PATH:ko00920]	L-3-cyanoalanine synthase/ cysteine synthase [EC:2.5.1.47 4.4.1.9]	K13034	ATCYSC1
2114	Sulfur metabolism [PATH:ko00920]	O-acetylhomoserine/O-acetylserine sulfhydrylase [EC:2.5.1.49 2.5.1.47]	K17069	MET17
2115	Sulfur metabolism [PATH:ko00920]	homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]	K00651	metA
2116	Sulfur metabolism [PATH:ko00920]	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	K00641	metX
2117	Sulfur metabolism [PATH:ko00920]	cystathionine gamma-synthase [EC:2.5.1.48]	K01739	metB
2118	Sulfur metabolism [PATH:ko00920]	O-succinylhomoserine sulfhydrylase [EC:2.5.1.-]	K10764	metZ
2119	Sulfur metabolism [PATH:ko00920]	cystathionine gamma-lyase / homocysteine desulfhydrase [EC:4.4.1.1 4.4.1.2]	K17217	mccB
2120	Sulfur metabolism [PATH:ko00920]	dimethylsulfone monooxygenase [EC:1.14.14.35]	K17228	sfnG
2121	Sulfur metabolism [PATH:ko00920]	methanesulfonate monooxygenase subunit alpha [EC:1.14.13.111]	K16968	msmA
2122	Sulfur metabolism [PATH:ko00920]	methanesulfonate monooxygenase subunit beta [EC:1.14.13.111]	K16969	msmB
2123	Sulfur metabolism [PATH:ko00920]	toluene monooxygenase system ferredoxin subunit	K15762	tmoC
2124	Sulfur metabolism [PATH:ko00920]	toluene monooxygenase electron transfer component [EC:1.18.1.3]	K15765	tmoF
2125	Sulfur metabolism [PATH:ko00920]	anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3]	K07306	dmsA
2126	Sulfur metabolism [PATH:ko00920]	anaerobic dimethyl sulfoxide reductase subunit B (DMSO reductase iron- sulfur subunit)	K07307	dmsB
2127	Sulfur metabolism [PATH:ko00920]	anaerobic dimethyl sulfoxide reductase subunit C (DMSO reductase anchor subunit)	K07308	dmsC
2128	Sulfur metabolism [PATH:ko00920]	dimethylsulfide dehydrogenase subunit alpha [EC:1.8.2.4]	K16964	ddhA
2129	Sulfur metabolism [PATH:ko00920]	dimethylsulfide dehydrogenase subunit beta	K16965	ddhB
2130	Sulfur metabolism [PATH:ko00920]	dimethylsulfide dehydrogenase subunit gamma	K16966	ddhC
2131	Sulfur metabolism [PATH:ko00920]	dimethylpropiothetin dethiomethylase [EC:4.4.1.3]	K16953	dddL
2132	Sulfur metabolism [PATH:ko00920]	dimethylsulfoniopropionate demethylase [EC:2.1.1.269]	K17486	dmdA
2133	Sulfur metabolism [PATH:ko00920]	3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44]	K20034	dmdB
2134	Sulfur metabolism [PATH:ko00920]	3-(methylthio)propanoyl-CoA dehydrogenase [EC:1.3.8.-]	K20035	dmdC
2135	Sulfur metabolism [PATH:ko00920]	(methylthio)acryloyl-CoA hydratase [EC:4.2.1.155]	K20036	dmdD
2136	Sulfur metabolism [PATH:ko00920]	dimethyl-sulfide monooxygenase [EC:1.14.13.131]	K16967	dmoA
2137	Sulfur metabolism [PATH:ko00920]	methanethiol S-methyltransferase [EC:2.1.1.334]	K21310	mddA
2138	Sulfur metabolism [PATH:ko00920]	methylthiol:coenzyme M methyltransferase [EC:2.1.1.251]	K16954	mtsA
2139	Sulfur metabolism [PATH:ko00920]	methylated-thiol--corrinoid protein	K16955	mtsB
2140	Fatty acid biosynthesis [PATH:ko00061]	acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15]	K11262	ACACA
2141	Fatty acid biosynthesis [PATH:ko00061]	acetyl-CoA carboxylase / biotin carboxylase 2 [EC:6.4.1.2 6.3.4.14 2.1.3.15]	K01946	ACACB
2142	Fatty acid biosynthesis [PATH:ko00061]	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]	K01962	accA
2143	Fatty acid biosynthesis [PATH:ko00061]	acetyl-CoA carboxylase biotin carboxyl carrier protein	K02160	accB
2144	Fatty acid biosynthesis [PATH:ko00061]	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	K01961	accC
2145	Fatty acid biosynthesis [PATH:ko00061]	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	K01963	accD
2146	Fatty acid biosynthesis [PATH:ko00061]	acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]	K11263	bccA
2147	Fatty acid biosynthesis [PATH:ko00061]	acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]	K18472	accD6
2148	Fatty acid biosynthesis [PATH:ko00061]	acyl carrier protein	K02078	acpP
2149	Fatty acid biosynthesis [PATH:ko00061]	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	K00645	fabD
2150	Fatty acid biosynthesis [PATH:ko00061]	fatty acid synthase, animal type [EC:2.3.1.85]	K00665	FASN
2151	Fatty acid biosynthesis [PATH:ko00061]	fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]	K00668	FAS1
2152	Fatty acid biosynthesis [PATH:ko00061]	fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]	K00667	FAS2
2153	Fatty acid biosynthesis [PATH:ko00061]	fatty acid synthase, bacteria type [EC:2.3.1.-]	K11533	fas
2154	Fatty acid biosynthesis [PATH:ko00061]	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	K00648	fabH
2155	Fatty acid biosynthesis [PATH:ko00061]	acetoacetyl-[acyl-carrier protein] synthase [EC:2.3.1.180]	K18473	fabY
2156	Fatty acid biosynthesis [PATH:ko00061]	3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	K00647	fabB
2157	Fatty acid biosynthesis [PATH:ko00061]	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	K09458	fabF
2158	Fatty acid biosynthesis [PATH:ko00061]	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	K00059	fabG
2159	Fatty acid biosynthesis [PATH:ko00061]	3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]	K01716	fabA
2160	Fatty acid biosynthesis [PATH:ko00061]	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	K02372	fabZ
2161	Fatty acid biosynthesis [PATH:ko00061]	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	K16363	lpxC-fabZ
2162	Fatty acid biosynthesis [PATH:ko00061]	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	K00208	fabI
2163	Fatty acid biosynthesis [PATH:ko00061]	enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]	K02371	fabK
2164	Fatty acid biosynthesis [PATH:ko00061]	enoyl-[acyl-carrier protein] reductase III [EC:1.3.1.104]	K10780	fabL
2165	Fatty acid biosynthesis [PATH:ko00061]	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	K00209	fabV
2166	Fatty acid biosynthesis [PATH:ko00061]	trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:5.3.3.14]	K18474	fabM
2167	Fatty acid biosynthesis [PATH:ko00061]	fatty acyl-ACP thioesterase B [EC:3.1.2.14 3.1.2.21]	K10781	FATB
2168	Fatty acid biosynthesis [PATH:ko00061]	medium-chain acyl-[acyl-carrier-protein] hydrolase [EC:3.1.2.21]	K01071	MCH
2169	Fatty acid biosynthesis [PATH:ko00061]	fatty acyl-ACP thioesterase A [EC:3.1.2.14]	K10782	FATA
2170	Fatty acid biosynthesis [PATH:ko00061]	acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]	K03921	FAB2
2171	Fatty acid biosynthesis [PATH:ko00061]	acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2]	K03922	desA2
2172	Fatty acid biosynthesis [PATH:ko00061]	long-chain acyl-CoA synthetase [EC:6.2.1.3]	K01897	ACSL
2173	Fatty acid biosynthesis [PATH:ko00061]	long-chain-fatty-acid--CoA ligase ACSBG [EC:6.2.1.3]	K15013	ACSBG
2174	Fatty acid elongation [PATH:ko00062]	acetyl-CoA acyltransferase 2 [EC:2.3.1.16]	K07508	ACAA2
2175	Fatty acid elongation [PATH:ko00062]	acetyl-CoA acyltransferase [EC:2.3.1.16]	K07509	HADHB
2176	Fatty acid elongation [PATH:ko00062]	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	K00022	HADH
2177	Fatty acid elongation [PATH:ko00062]	enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211]	K07515	HADHA
2178	Fatty acid elongation [PATH:ko00062]	enoyl-CoA hydratase [EC:4.2.1.17]	K07511	ECHS1
2179	Fatty acid elongation [PATH:ko00062]	mitochondrial trans-2-enoyl-CoA reductase [EC:1.3.1.38]	K07512	MECR
2180	Fatty acid elongation [PATH:ko00062]	palmitoyl-protein thioesterase [EC:3.1.2.22]	K01074	PPT
2181	Fatty acid elongation [PATH:ko00062]	abhydrolase domain-containing protein 17 [EC:3.1.2.22]	K01076	ABHD17
2182	Fatty acid elongation [PATH:ko00062]	elongation of very long chain fatty acids protein 1 [EC:2.3.1.199]	K10247	ELOVL1
2183	Fatty acid elongation [PATH:ko00062]	elongation of very long chain fatty acids protein 2 [EC:2.3.1.199]	K10205	ELOVL2
