func_id	pathway	enzyme
K02859	Other	Other
K02860	Other	Other
K02862	Other	Other
K02863	Ribosome [PATH:ko03010]	large subunit ribosomal protein L1
K02864	Ribosome [PATH:ko03010]	large subunit ribosomal protein L10
K02865	Ribosome [PATH:ko03010]	large subunit ribosomal protein L10Ae
K02866	Ribosome [PATH:ko03010]	large subunit ribosomal protein L10e
K02867	Ribosome [PATH:ko03010]	large subunit ribosomal protein L11
K02868	Ribosome [PATH:ko03010]	large subunit ribosomal protein L11e
K02869	Ribosome [PATH:ko03010]	large subunit ribosomal protein L12
K02870	Ribosome [PATH:ko03010]	large subunit ribosomal protein L12e
K02871	Ribosome [PATH:ko03010]	large subunit ribosomal protein L13
K02872	Ribosome [PATH:ko03010]	large subunit ribosomal protein L13Ae
K02873	Ribosome [PATH:ko03010]	large subunit ribosomal protein L13e
K02874	Ribosome [PATH:ko03010]	large subunit ribosomal protein L14
K02875	Ribosome [PATH:ko03010]	large subunit ribosomal protein L14e
K02876	Ribosome [PATH:ko03010]	large subunit ribosomal protein L15
K02877	Ribosome [PATH:ko03010]	large subunit ribosomal protein L15e
K02878	Ribosome [PATH:ko03010]	large subunit ribosomal protein L16
K02879	Ribosome [PATH:ko03010]	large subunit ribosomal protein L17
K02880	Ribosome [PATH:ko03010]	large subunit ribosomal protein L17e
K02881	Ribosome [PATH:ko03010]	large subunit ribosomal protein L18
K02882	Ribosome [PATH:ko03010]	large subunit ribosomal protein L18Ae
K02883	Ribosome [PATH:ko03010]	large subunit ribosomal protein L18e
K02884	Ribosome [PATH:ko03010]	large subunit ribosomal protein L19
K02885	Ribosome [PATH:ko03010]	large subunit ribosomal protein L19e
K02886	Ribosome [PATH:ko03010]	large subunit ribosomal protein L2
K02887	Ribosome [PATH:ko03010]	large subunit ribosomal protein L20
K02888	Ribosome [PATH:ko03010]	large subunit ribosomal protein L21
K02889	Ribosome [PATH:ko03010]	large subunit ribosomal protein L21e
K02890	Ribosome [PATH:ko03010]	large subunit ribosomal protein L22
K02891	Ribosome [PATH:ko03010]	large subunit ribosomal protein L22e
K02892	Ribosome [PATH:ko03010]	large subunit ribosomal protein L23
K02893	Ribosome [PATH:ko03010]	large subunit ribosomal protein L23Ae
K02894	Ribosome [PATH:ko03010]	large subunit ribosomal protein L23e
K02895	Ribosome [PATH:ko03010]	large subunit ribosomal protein L24
K02896	Ribosome [PATH:ko03010]	large subunit ribosomal protein L24e
K02897	Ribosome [PATH:ko03010]	large subunit ribosomal protein L25
K02898	Ribosome [PATH:ko03010]	large subunit ribosomal protein L26e
K02899	Ribosome [PATH:ko03010]	large subunit ribosomal protein L27
K02900	Ribosome [PATH:ko03010]	large subunit ribosomal protein L27Ae
K02901	Ribosome [PATH:ko03010]	large subunit ribosomal protein L27e
K02902	Ribosome [PATH:ko03010]	large subunit ribosomal protein L28
K02903	Ribosome [PATH:ko03010]	large subunit ribosomal protein L28e
K02904	Ribosome [PATH:ko03010]	large subunit ribosomal protein L29
K02905	Ribosome [PATH:ko03010]	large subunit ribosomal protein L29e
K02906	Ribosome [PATH:ko03010]	large subunit ribosomal protein L3
K02907	Ribosome [PATH:ko03010]	large subunit ribosomal protein L30
K02908	Ribosome [PATH:ko03010]	large subunit ribosomal protein L30e
K02909	Ribosome [PATH:ko03010]	large subunit ribosomal protein L31
K02910	Ribosome [PATH:ko03010]	large subunit ribosomal protein L31e
K02911	Ribosome [PATH:ko03010]	large subunit ribosomal protein L32
K02912	Ribosome [PATH:ko03010]	large subunit ribosomal protein L32e
K02913	Ribosome [PATH:ko03010]	large subunit ribosomal protein L33
K02914	Ribosome [PATH:ko03010]	large subunit ribosomal protein L34
K02915	Ribosome [PATH:ko03010]	large subunit ribosomal protein L34e
K02916	Ribosome [PATH:ko03010]	large subunit ribosomal protein L35
K02917	Ribosome [PATH:ko03010]	large subunit ribosomal protein L35Ae
K02918	Ribosome [PATH:ko03010]	large subunit ribosomal protein L35e
K02919	Ribosome [PATH:ko03010]	large subunit ribosomal protein L36
K02920	Ribosome [PATH:ko03010]	large subunit ribosomal protein L36e
K02921	Ribosome [PATH:ko03010]	large subunit ribosomal protein L37Ae
K02922	Ribosome [PATH:ko03010]	large subunit ribosomal protein L37e
K02923	Ribosome [PATH:ko03010]	large subunit ribosomal protein L38e
K02924	Ribosome [PATH:ko03010]	large subunit ribosomal protein L39e
K02925	Ribosome [PATH:ko03010]	large subunit ribosomal protein L3e
K02926	Ribosome [PATH:ko03010]	large subunit ribosomal protein L4
K02927	Ribosome [PATH:ko03010]	large subunit ribosomal protein L40e
K02929	Ribosome [PATH:ko03010]	large subunit ribosomal protein L44e
K02930	Ribosome [PATH:ko03010]	large subunit ribosomal protein L4e
K02931	Ribosome [PATH:ko03010]	large subunit ribosomal protein L5
K02932	Ribosome [PATH:ko03010]	large subunit ribosomal protein L5e
K02933	Ribosome [PATH:ko03010]	large subunit ribosomal protein L6
K02934	Ribosome [PATH:ko03010]	large subunit ribosomal protein L6e
K02935	Ribosome [PATH:ko03010]	large subunit ribosomal protein L7/L12
K02936	Ribosome [PATH:ko03010]	large subunit ribosomal protein L7Ae
K02937	Ribosome [PATH:ko03010]	large subunit ribosomal protein L7e
K02938	Ribosome [PATH:ko03010]	large subunit ribosomal protein L8e
K02939	Ribosome [PATH:ko03010]	large subunit ribosomal protein L9
K02940	Ribosome [PATH:ko03010]	large subunit ribosomal protein L9e
K02941	Ribosome [PATH:ko03010]	large subunit ribosomal protein LP0
K02942	Ribosome [PATH:ko03010]	large subunit ribosomal protein LP1
K02943	Ribosome [PATH:ko03010]	large subunit ribosomal protein LP2
K02945	Ribosome [PATH:ko03010]	small subunit ribosomal protein S1
K02946	Ribosome [PATH:ko03010]	small subunit ribosomal protein S10
K02947	Ribosome [PATH:ko03010]	small subunit ribosomal protein S10e
K02948	Ribosome [PATH:ko03010]	small subunit ribosomal protein S11
K02949	Ribosome [PATH:ko03010]	small subunit ribosomal protein S11e
K02950	Ribosome [PATH:ko03010]	small subunit ribosomal protein S12
K02951	Ribosome [PATH:ko03010]	small subunit ribosomal protein S12e
K02952	Ribosome [PATH:ko03010]	small subunit ribosomal protein S13
K02953	Ribosome [PATH:ko03010]	small subunit ribosomal protein S13e
K02954	Ribosome [PATH:ko03010]	small subunit ribosomal protein S14
K02955	Ribosome [PATH:ko03010]	small subunit ribosomal protein S14e
K02956	Ribosome [PATH:ko03010]	small subunit ribosomal protein S15
K02957	Ribosome [PATH:ko03010]	small subunit ribosomal protein S15Ae
K02958	Ribosome [PATH:ko03010]	small subunit ribosomal protein S15e
K02959	Ribosome [PATH:ko03010]	small subunit ribosomal protein S16
K02960	Ribosome [PATH:ko03010]	small subunit ribosomal protein S16e
K02961	Ribosome [PATH:ko03010]	small subunit ribosomal protein S17
K02962	Ribosome [PATH:ko03010]	small subunit ribosomal protein S17e
K02963	Ribosome [PATH:ko03010]	small subunit ribosomal protein S18
K02964	Ribosome [PATH:ko03010]	small subunit ribosomal protein S18e
K02965	Ribosome [PATH:ko03010]	small subunit ribosomal protein S19
K02966	Ribosome [PATH:ko03010]	small subunit ribosomal protein S19e
K02967	Ribosome [PATH:ko03010]	small subunit ribosomal protein S2
K02968	Ribosome [PATH:ko03010]	small subunit ribosomal protein S20
K02969	Ribosome [PATH:ko03010]	small subunit ribosomal protein S20e
K02970	Ribosome [PATH:ko03010]	small subunit ribosomal protein S21
K02971	Ribosome [PATH:ko03010]	small subunit ribosomal protein S21e
K02972	Other	Other
K02973	Ribosome [PATH:ko03010]	small subunit ribosomal protein S23e
K02974	Ribosome [PATH:ko03010]	small subunit ribosomal protein S24e
K02975	Ribosome [PATH:ko03010]	small subunit ribosomal protein S25e
K02976	Ribosome [PATH:ko03010]	small subunit ribosomal protein S26e
K02977	Ribosome [PATH:ko03010]	small subunit ribosomal protein S27Ae
K02978	Ribosome [PATH:ko03010]	small subunit ribosomal protein S27e
K02979	Ribosome [PATH:ko03010]	small subunit ribosomal protein S28e
K02980	Ribosome [PATH:ko03010]	small subunit ribosomal protein S29e
K02981	Ribosome [PATH:ko03010]	small subunit ribosomal protein S2e
K02982	Ribosome [PATH:ko03010]	small subunit ribosomal protein S3
K02983	Ribosome [PATH:ko03010]	small subunit ribosomal protein S30e
K02984	Ribosome [PATH:ko03010]	small subunit ribosomal protein S3Ae
K02985	Ribosome [PATH:ko03010]	small subunit ribosomal protein S3e
K02986	Ribosome [PATH:ko03010]	small subunit ribosomal protein S4
K02987	Ribosome [PATH:ko03010]	small subunit ribosomal protein S4e
K02988	Ribosome [PATH:ko03010]	small subunit ribosomal protein S5
K02989	Ribosome [PATH:ko03010]	small subunit ribosomal protein S5e
K02990	Ribosome [PATH:ko03010]	small subunit ribosomal protein S6
K02991	mTOR signaling pathway [PATH:ko04150]	small subunit ribosomal protein S6e
K02992	Ribosome [PATH:ko03010]	small subunit ribosomal protein S7
K02993	Ribosome [PATH:ko03010]	small subunit ribosomal protein S7e
K02994	Ribosome [PATH:ko03010]	small subunit ribosomal protein S8
K02995	Ribosome [PATH:ko03010]	small subunit ribosomal protein S8e
K02996	Ribosome [PATH:ko03010]	small subunit ribosomal protein S9
K02997	Ribosome [PATH:ko03010]	small subunit ribosomal protein S9e
K02998	Ribosome [PATH:ko03010]	small subunit ribosomal protein SAe
K02999	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6]
K03000	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase I subunit RPA12
K03002	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase I subunit RPA2 [EC:2.7.7.6]
K03004	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase I subunit RPA43
K03005	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase I subunit RPA49
K03006	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]
K03007	RNA polymerase [PATH:ko03020]	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"
K03008	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase II subunit RPB11
K03009	RNA polymerase [PATH:ko03020]	"DNA-directed RNA polymerases I, II, and III subunit RPABC4"
K03010	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]
K03011	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase II subunit RPB3
K03012	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase II subunit RPB4
K03013	RNA polymerase [PATH:ko03020]	"DNA-directed RNA polymerases I, II, and III subunit RPABC1"
K03014	RNA polymerase [PATH:ko03020]	"DNA-directed RNA polymerases I, II, and III subunit RPABC2"
K03015	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase II subunit RPB7
K03016	RNA polymerase [PATH:ko03020]	"DNA-directed RNA polymerases I, II, and III subunit RPABC3"
K03017	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase II subunit RPB9
K03018	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]
K03019	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase III subunit RPC11
K03020	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerases I and III subunit RPAC2
K03021	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase III subunit RPC2 [EC:2.7.7.6]
K03022	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase III subunit RPC8
K03023	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase III subunit RPC3
K03024	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase III subunit RPC7
K03025	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase III subunit RPC6
K03026	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase III subunit RPC4
K03027	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerases I and III subunit RPAC1
K03028	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit N1
K03029	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit N10
K03030	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit N11
K03031	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit N12
K03032	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit N2
K03033	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit N3
K03035	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit N5
K03036	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit N6
K03037	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit N7
K03038	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit N8
K03039	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit N9
K03040	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
K03041	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]
K03042	RNA polymerase [PATH:ko03020]	"DNA-directed RNA polymerase subunit A"" [EC:2.7.7.6]"
K03043	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
K03044	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit B' [EC:2.7.7.6]
K03046	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
K03047	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit D [EC:2.7.7.6]
K03048	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit delta
K03049	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]
K03050	RNA polymerase [PATH:ko03020]	"DNA-directed RNA polymerase subunit E"" [EC:2.7.7.6]"
K03051	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit F [EC:2.7.7.6]
K03053	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit H [EC:2.7.7.6]
K03056	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit L [EC:2.7.7.6]
K03057	Other	Other
K03058	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit N [EC:2.7.7.6]
K03059	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit P [EC:2.7.7.6]
K03060	RNA polymerase [PATH:ko03020]	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
K03061	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit T1
K03062	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit T2
K03063	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit T3
K03064	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit T4
K03065	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit T5
K03066	Proteasome [PATH:ko03050]	26S proteasome regulatory subunit T6
K03068	mTOR signaling pathway [PATH:ko04150]	low density lipoprotein receptor-related protein 5/6
K03070	Quorum sensing [PATH:ko02024]	preprotein translocase subunit SecA
K03071	Quorum sensing [PATH:ko02024]	preprotein translocase subunit SecB
K03072	Bacterial secretion system [PATH:ko03070]	preprotein translocase subunit SecD
K03073	Quorum sensing [PATH:ko02024]	preprotein translocase subunit SecE
K03074	Bacterial secretion system [PATH:ko03070]	preprotein translocase subunit SecF
K03075	Quorum sensing [PATH:ko02024]	preprotein translocase subunit SecG
K03076	Quorum sensing [PATH:ko02024]	preprotein translocase subunit SecY
K03077	Ascorbate and aldarate metabolism [PATH:ko00053]	L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]
K03078	Ascorbate and aldarate metabolism [PATH:ko00053]	3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]
K03079	Ascorbate and aldarate metabolism [PATH:ko00053]	L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]
K03080	Other	Other
K03081	Other	Other
K03082	Other	Other
K03083	Signaling pathways regulating pluripotency of stem cells [PATH:ko04550]	glycogen synthase kinase 3 beta [EC:2.7.11.26]
K03084	Phosphatidylinositol signaling system [PATH:ko04070]	"phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1 [EC:3.1.3.86]"
K03086	Other	Other
K03087	Biofilm formation - Escherichia coli [PATH:ko02026]	RNA polymerase nonessential primary-like sigma factor
K03088	Other	Other
K03089	Other	Other
K03090	Other	Other
K03091	Other	Other
K03092	Biofilm formation - Vibrio cholerae [PATH:ko05111]	RNA polymerase sigma-54 factor
K03093	Other	Other
K03094	Oocyte meiosis [PATH:ko04114]	S-phase kinase-associated protein 1
K03095	Other	Other
K03097	Adherens junction [PATH:ko04520]	casein kinase II subunit alpha [EC:2.7.11.1]
K03098	Other	Other
K03099	Regulation of actin cytoskeleton [PATH:ko04810]	son of sevenless
K03100	Quorum sensing [PATH:ko02024]	signal peptidase I [EC:3.4.21.89]
K03101	Protein export [PATH:ko03060]	signal peptidase II [EC:3.4.23.36]
K03102	Other	Other
K03103	Inositol phosphate metabolism [PATH:ko00562]	"multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]"
K03104	Protein export [PATH:ko03060]	signal recognition particle subunit SRP14
K03105	Protein export [PATH:ko03060]	signal recognition particle subunit SRP19
K03106	Quorum sensing [PATH:ko02024]	signal recognition particle subunit SRP54 [EC:3.6.5.4]
K03107	Protein export [PATH:ko03060]	signal recognition particle subunit SRP68
K03108	Protein export [PATH:ko03060]	signal recognition particle subunit SRP72
K03109	Protein export [PATH:ko03060]	signal recognition particle subunit SRP9
K03110	Quorum sensing [PATH:ko02024]	fused signal recognition particle receptor
K03111	Homologous recombination [PATH:ko03440]	single-strand DNA-binding protein
K03112	Other	Other
K03113	RNA transport [PATH:ko03013]	translation initiation factor 1
K03114	Meiosis - yeast [PATH:ko04113]	mitosis inhibitor protein kinase SWE1 [EC:2.7.11.1]
K03115	Adherens junction [PATH:ko04520]	casein kinase II subunit beta
K03116	Bacterial secretion system [PATH:ko03070]	sec-independent protein translocase protein TatA
K03117	Bacterial secretion system [PATH:ko03070]	sec-independent protein translocase protein TatB
K03118	Bacterial secretion system [PATH:ko03070]	sec-independent protein translocase protein TatC
K03119	Taurine and hypotaurine metabolism [PATH:ko00430]	taurine dioxygenase [EC:1.14.11.17]
K03120	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIID TATA-box-binding protein
K03122	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIIA large subunit
K03123	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIIA small subunit
K03124	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIIB
K03125	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIID subunit 1
K03126	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIID subunit 12
K03127	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIID subunit 13
K03128	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIID subunit 2
K03129	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIID subunit 4
K03130	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIID subunit 5
K03131	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIID subunit 6
K03132	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIID subunit 7
K03133	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIID subunit 9B
K03134	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIID subunit 10
K03135	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIID subunit 11
K03136	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIIE subunit alpha
K03137	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIIE subunit beta
K03138	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIIF subunit alpha
K03139	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIIF subunit beta [EC:3.6.4.12]
K03140	Basal transcription factors [PATH:ko03022]	transcription initiation factor TFIID/TFIIF subunit
K03141	Nucleotide excision repair [PATH:ko03420]	transcription initiation factor TFIIH subunit 1
K03142	Nucleotide excision repair [PATH:ko03420]	transcription initiation factor TFIIH subunit 2
K03143	Nucleotide excision repair [PATH:ko03420]	transcription initiation factor TFIIH subunit 3
K03144	Nucleotide excision repair [PATH:ko03420]	transcription initiation factor TFIIH subunit 4
K03145	Other	Other
K03146	Thiamine metabolism [PATH:ko00730]	cysteine-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.60]
K03147	Thiamine metabolism [PATH:ko00730]	phosphomethylpyrimidine synthase [EC:4.1.99.17]
K03148	Sulfur relay system [PATH:ko04122]	sulfur carrier protein ThiS adenylyltransferase [EC:2.7.7.73]
K03149	Thiamine metabolism [PATH:ko00730]	thiazole synthase [EC:2.8.1.10]
K03150	Thiamine metabolism [PATH:ko00730]	2-iminoacetate synthase [EC:4.1.99.19]
K03151	Sulfur relay system [PATH:ko04122]	tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]
K03152	Other	Other
K03153	Thiamine metabolism [PATH:ko00730]	glycine oxidase [EC:1.4.3.19]
K03154	Sulfur relay system [PATH:ko04122]	sulfur carrier protein
K03155	Other	Other
K03163	Other	Other
K03164	Other	Other
K03165	Fanconi anemia pathway [PATH:ko03460]	DNA topoisomerase III [EC:5.99.1.2]
K03166	Other	Other
K03167	Other	Other
K03168	Other	Other
K03169	Other	Other
K03177	Other	Other
K03178	Ubiquitin mediated proteolysis [PATH:ko04120]	ubiquitin-activating enzyme E1 [EC:6.2.1.45]
K03179	Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
K03181	Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	chorismate--pyruvate lyase [EC:4.1.3.40]
K03182	Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]
K03183	Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	"demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"
K03184	Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
K03185	Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]
K03186	Aminobenzoate degradation [PATH:ko00627]	flavin prenyltransferase [EC:2.5.1.129]
K03187	Other	Other
K03188	Other	Other
K03189	Other	Other
K03190	Other	Other
K03192	Other	Other
K03194	Bacterial secretion system [PATH:ko03070]	type IV secretion system protein VirB1
K03195	Bacterial secretion system [PATH:ko03070]	type IV secretion system protein VirB10
K03196	Bacterial secretion system [PATH:ko03070]	type IV secretion system protein VirB11
K03197	Bacterial secretion system [PATH:ko03070]	type IV secretion system protein VirB2
K03198	Bacterial secretion system [PATH:ko03070]	type IV secretion system protein VirB3
K03199	Bacterial secretion system [PATH:ko03070]	type IV secretion system protein VirB4
K03200	Bacterial secretion system [PATH:ko03070]	type IV secretion system protein VirB5
K03201	Bacterial secretion system [PATH:ko03070]	type IV secretion system protein VirB6
K03202	Bacterial secretion system [PATH:ko03070]	type IV secretion system protein VirB7
K03203	Bacterial secretion system [PATH:ko03070]	type IV secretion system protein VirB8
K03204	Bacterial secretion system [PATH:ko03070]	type IV secretion system protein VirB9
K03205	Bacterial secretion system [PATH:ko03070]	type IV secretion system protein VirD4
K03206	Other	Other
K03207	Other	Other
K03208	Other	Other
K03209	Signaling pathways regulating pluripotency of stem cells [PATH:ko04550]	"wingless-type MMTV integration site family, member 1"
K03210	Quorum sensing [PATH:ko02024]	preprotein translocase subunit YajC
K03211	MAPK signaling pathway - fly [PATH:ko04013]	ETS translocation variant 6/7
K03212	Other	Other
K03213	Wnt signaling pathway [PATH:ko04310]	naked cuticle
K03214	Other	Other
K03215	Other	Other
K03216	Other	Other
K03217	Quorum sensing [PATH:ko02024]	YidC/Oxa1 family membrane protein insertase
K03218	Other	Other
K03219	Bacterial secretion system [PATH:ko03070]	type III secretion protein C
K03220	Other	Other
K03221	Bacterial secretion system [PATH:ko03070]	type III secretion protein F
K03222	Bacterial secretion system [PATH:ko03070]	type III secretion protein J
K03223	Bacterial secretion system [PATH:ko03070]	type III secretion protein L
K03224	Bacterial secretion system [PATH:ko03070]	ATP synthase in type III secretion protein N [EC:7.1.2.2]
K03225	Bacterial secretion system [PATH:ko03070]	type III secretion protein Q
K03226	Bacterial secretion system [PATH:ko03070]	type III secretion protein R
K03227	Bacterial secretion system [PATH:ko03070]	type III secretion protein S
K03228	Bacterial secretion system [PATH:ko03070]	type III secretion protein T
K03229	Bacterial secretion system [PATH:ko03070]	type III secretion protein U
K03230	Bacterial secretion system [PATH:ko03070]	type III secretion protein V
K03231	RNA transport [PATH:ko03013]	elongation factor 1-alpha
K03232	Other	Other
K03233	Other	Other
K03234	AMPK signaling pathway [PATH:ko04152]	elongation factor 2
K03235	Other	Other
K03236	RNA transport [PATH:ko03013]	translation initiation factor 1A
K03237	Apoptosis [PATH:ko04210]	translation initiation factor 2 subunit 1
K03238	RNA transport [PATH:ko03013]	translation initiation factor 2 subunit 2
K03239	RNA transport [PATH:ko03013]	translation initiation factor eIF-2B subunit alpha
K03240	RNA transport [PATH:ko03013]	translation initiation factor eIF-2B subunit epsilon
K03241	RNA transport [PATH:ko03013]	translation initiation factor eIF-2B subunit gamma
K03242	RNA transport [PATH:ko03013]	translation initiation factor 2 subunit 3
K03243	RNA transport [PATH:ko03013]	translation initiation factor 5B
K03245	RNA transport [PATH:ko03013]	translation initiation factor 3 subunit J
K03246	RNA transport [PATH:ko03013]	translation initiation factor 3 subunit I
K03247	RNA transport [PATH:ko03013]	translation initiation factor 3 subunit H
K03248	RNA transport [PATH:ko03013]	translation initiation factor 3 subunit G
K03249	RNA transport [PATH:ko03013]	translation initiation factor 3 subunit F
K03250	RNA transport [PATH:ko03013]	translation initiation factor 3 subunit E
K03251	RNA transport [PATH:ko03013]	translation initiation factor 3 subunit D
K03252	RNA transport [PATH:ko03013]	translation initiation factor 3 subunit C
K03253	RNA transport [PATH:ko03013]	translation initiation factor 3 subunit B
K03254	RNA transport [PATH:ko03013]	translation initiation factor 3 subunit A
K03255	Other	Other
K03256	Other	Other
K03257	RNA transport [PATH:ko03013]	translation initiation factor 4A
K03258	mTOR signaling pathway [PATH:ko04150]	translation initiation factor 4B
K03259	mTOR signaling pathway [PATH:ko04150]	translation initiation factor 4E
K03260	RNA transport [PATH:ko03013]	translation initiation factor 4G
K03262	Apoptosis - fly [PATH:ko04214]	translation initiation factor 5
K03263	Other	Other
K03264	Ribosome biogenesis in eukaryotes [PATH:ko03008]	translation initiation factor 6
K03265	mRNA surveillance pathway [PATH:ko03015]	peptide chain release factor subunit 1
K03267	mRNA surveillance pathway [PATH:ko03015]	peptide chain release factor subunit 3
K03268	Toluene degradation [PATH:ko00623]	benzene/toluene/chlorobenzene dioxygenase subunit alpha [EC:1.14.12.3 1.14.12.11 1.14.12.-]
K03269	Lipopolysaccharide biosynthesis [PATH:ko00540]	"UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"
K03270	Lipopolysaccharide biosynthesis [PATH:ko00540]	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]
K03271	Lipopolysaccharide biosynthesis [PATH:ko00540]	D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]
K03272	Lipopolysaccharide biosynthesis [PATH:ko00540]	D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]
